title,price_gbp
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59
Shakespeare's Sonnets,20.66
In the Country We Love: My Family Divided,22.0
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6
The Requiem Red,22.65
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11
The Elephant Tree,23.82
Olio,23.88
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02
Chase Me (Paris Nights #2),25.27
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52
Reasons to Stay Alive,26.41
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12
When We Collided,31.77
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24
Penny Maybe,33.29
The Dirty Little Secrets of Getting Your Dream Job,33.34
My Paris Kitchen: Recipes and Stories,33.37
You can't bury them all: Poems,33.63
Black Dust,34.53
Rip it Up and Start Again,35.02
Join,35.67
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28
The Bear and the Piano,36.89
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13
How Music Works,37.32
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59
The Nameless City (The Nameless City #1),38.16
Security,39.25
Soul Reader,39.58
